,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
122,Aaron Ramsey,1.0,0.3,0.9,0.3,0.1,0.0,2.0,4.0,1.1,1.4,0.5,0.8,0.1,0.4,1.4,4.0,1.4,31.8,87.1,0.5,1.5,0.0
123,Alessio gnoli,0.8,1.1,0.9,3.5,1.0,0.0,1.0,1.0,0.7,0.1,0.0,0.5,0.0,0.0,0.3,1.0,0.1,46.5,89.6,0.0,1.4,0.0
124,Cristian Ansaldi,1.5,0.5,0.8,1.0,0.2,0.0,1.0,6.0,0.6,1.2,0.9,0.7,0.0,0.5,0.8,6.0,1.2,20.5,75.4,1.6,2.1,0.0
125,Gianluigi Buffon,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,32.6,82.0,0.0,4.0,0.0
126,David Ospina,0.0,0.0,0.1,0.8,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,1.0,0.1,30.9,81.4,0.0,5.9,0.0
127,Radja Nainggolan,1.9,0.7,1.0,0.7,0.0,0.0,1.0,0.0,2.2,1.0,1.3,1.0,0.0,1.5,1.5,0.0,1.0,34.3,80.0,0.8,3.0,0.0
128,Gianluca Caprari,0.5,0.6,0.8,0.2,0.0,0.0,5.0,6.0,1.6,1.2,1.7,1.8,0.3,1.7,2.4,6.0,1.2,19.7,80.6,0.8,0.8,0.0
129,Yildirim Mert Çetin,1.3,2.3,1.0,2.2,1.0,0.0,0.0,0.0,0.3,0.0,0.5,0.7,0.0,0.3,0.3,0.0,0.0,28.7,79.7,0.0,3.3,0.0
130,Simy,0.2,0.2,1.3,1.3,0.1,0.0,20.0,2.0,1.7,0.7,0.9,1.2,0.6,1.9,3.2,2.0,0.7,18.2,77.1,0.0,0.3,0.0
131,José Luis Palomino,1.9,2.2,1.3,1.5,0.4,0.0,1.0,2.0,0.1,0.3,0.1,0.4,0.1,0.1,0.4,2.0,0.3,42.1,82.8,0.0,2.5,0.0
